cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
2019-04,ALL,f,KF-2019-04-388,AL,AL,63,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-329,AL,AL,66,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-322,AL,AL,73,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-310,AL,AL,85,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-336,AL,AL,86,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-345,AL,AL,87,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-362,AL,AL,89,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-366,AL,AL,99,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-384,AL,AL,109,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-325,AL,AL,116,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-364,AL,AL,120,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-361,AL,AL,123,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-343,AL,AL,126,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-373,AL,AL,133,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,f,KF-2019-04-382,DR,AL,55,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-344,DR,AL,59,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-330,DR,AL,61,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-307,DR,AL,69,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-368,DR,AL,69,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-337,DR,AL,84,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-348,DR,AL,94,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-354,DR,AL,98,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-349,DR,AL,99,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-378,DR,AL,101,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-340,DR,AL,103,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-379,DR,AL,105,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-347,DR,AL,120,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-312,DR,AL,123,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-385,DR,AL,123,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-334,DR,AL,130,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-395,DR,AL,136,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,f,KF-2019-04-357,DR,AL,159,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-400,AL,AL,59,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-353,AL,AL,60,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-317,AL,AL,63,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-387,AL,AL,71,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-369,AL,AL,74,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-305,AL,AL,92,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-346,AL,AL,102,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-331,AL,AL,103,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
