Number,Strain,Parents,HatchDate,DeathDate,Lifespan_days,BodyLength_cm,Observed,FeedingScheme,Sex
440,GRZ,GRZ,8/20/19,11/23/19,95,,1,AL,m
441,GRZ,GRZ,8/20/19,10/23/19,64,,0,AL,f
442,GRZ,GRZ,8/20/19,10/25/19,66,5.2,1,AL,m
443,GRZ,GRZ,8/20/19,12/6/19,108,5,1,DR,m
445,GRZ,GRZ,8/20/19,11/13/19,85,,1,AL,f
446,GRZ,GRZ,8/20/19,10/23/19,64,,0,AL,f
447,GRZ,GRZ,8/30/19,10/23/19,54,,1,AL,m
448,GRZ,GRZ,8/27/19,1/4/20,130,6,1,AL,f
449,GRZ,GRZ,8/27/19,1/8/20,134,5.5,1,AL,m
450,GRZ,GRZ,8/27/19,12/23/19,,4.2,1,DR,f
451,GRZ,GRZ,8/27/19,11/14/19,79,,1,AL,f
452,GRZ,GRZ,8/27/19,11/15/19,80,,1,DR,f
453,GRZ,GRZ,8/27/19,11/3/19,68,,1,AL,f
454,GRZ,GRZ,8/27/19,10/14/19,48,,1,AL,f
455,GRZ,GRZ,8/27/19,11/26/19,91,5,1,AL,f
456,GRZ,GRZ,8/27/19,12/16/19,111,,1,DR,f
457,GRZ,GRZ,8/27/19,10/23/19,57,,1,DR,f
458,GRZ,GRZ,8/27/19,11/4/19,69,4.5,1,DR,m
459,GRZ,GRZ,8/27/19,11/18/19,83,5.5,1,AL,m
460,GRZ,GRZ,8/27/19,12/16/19,111,4.1,1,DR,f
461,GRZ,GRZ,8/20/19,11/11/19,83,,1,AL,f
462,GRZ,GRZ,8/20/19,10/29/19,70,,0,AL,f
463,GRZ,GRZ,8/30/19,1/29/20,152,5,1,DR,m
464,GRZ,GRZ,8/30/19,11/8/19,70,,1,AL,f
467,GRZ,GRZ,8/27/19,12/2/19,97,,0,DR,m
468,GRZ,GRZ,8/30/19,11/29/19,91,,1,DR,f
469,GRZ,GRZ,8/30/19,12/12/19,104,,1,DR,f
470,GRZ,GRZ,8/30/19,11/7/19,69,,1,DR,f
471,GRZ,GRZ,8/30/19,11/17/19,79,,1,DR,f
472,GRZ,GRZ,8/30/19,10/28/19,59,3.5,1,AL,f
473,GRZ,GRZ,8/30/19,11/12/19,74,,1,DR,f
474,GRZ,GRZ,8/30/19,11/7/19,69,,1,DR,f
475,GRZ,GRZ,8/27/19,10/25/19,59,3.5,1,DR,f
476,GRZ,GRZ,8/27/19,12/2/19,97,,1,AL,f
477,GRZ,GRZ,8/27/19,12/10/19,105,,1,DR,f
478,GRZ,GRZ,8/30/19,11/21/19,83,5,1,AL,m
480,GRZ,GRZ,8/30/19,11/11/19,73,5.1,1,AL,m
481,GRZ,GRZ,8/30/19,11/14/19,76,,0,DR,f
482,GRZ,GRZ,8/30/19,11/21/19,83,5.4,1,AL,m
483,GRZ,GRZ,8/30/19,12/12/19,104,4,1,DR,f
484,GRZ,GRZ,8/27/19,12/10/19,105,4.6,1,DR,m
