population,cohort,site,sex,id,group,Rx(ppm),age_initiation(mo),status,dead,age(days)
UM-HET3,C2004,TJL,m,JL00005,4-OH-PBN,315,4,dead,True,896
UM-HET3,C2004,TJL,m,JL00006,4-OH-PBN,315,4,dead,True,1077
UM-HET3,C2004,TJL,m,JL00007,4-OH-PBN,315,4,dead,True,790
UM-HET3,C2004,TJL,f,JL00095,4-OH-PBN,315,4,dead,True,823
UM-HET3,C2004,TJL,f,JL00096,4-OH-PBN,315,4,dead,True,601
UM-HET3,C2004,TJL,f,JL00097,4-OH-PBN,315,4,dead,True,842
UM-HET3,C2004,TJL,f,JL00098,4-OH-PBN,315,4,dead,True,885
UM-HET3,C2004,TJL,m,JL00106,4-OH-PBN,315,4,dead,True,912
UM-HET3,C2004,TJL,m,JL00107,4-OH-PBN,315,4,dead,True,919
UM-HET3,C2004,TJL,m,JL00108,4-OH-PBN,315,4,dead,True,967
UM-HET3,C2004,TJL,m,JL00113,4-OH-PBN,315,4,dead,True,605
UM-HET3,C2004,TJL,m,JL00114,4-OH-PBN,315,4,dead,True,870
UM-HET3,C2004,TJL,m,JL00115,4-OH-PBN,315,4,dead,True,435
UM-HET3,C2004,TJL,m,JL00152,4-OH-PBN,315,4,removed,False,653
UM-HET3,C2004,TJL,m,JL00153,4-OH-PBN,315,4,dead,True,128
UM-HET3,C2004,TJL,m,JL00154,4-OH-PBN,315,4,removed,False,653
UM-HET3,C2004,TJL,m,JL00159,4-OH-PBN,315,4,dead,True,910
UM-HET3,C2004,TJL,m,JL00160,4-OH-PBN,315,4,dead,True,1028
UM-HET3,C2004,TJL,m,JL00161,4-OH-PBN,315,4,dead,True,939
UM-HET3,C2004,TJL,f,JL00188,4-OH-PBN,315,4,dead,True,950
UM-HET3,C2004,TJL,f,JL00189,4-OH-PBN,315,4,dead,True,686
UM-HET3,C2004,TJL,f,JL00190,4-OH-PBN,315,4,dead,True,610
UM-HET3,C2004,TJL,f,JL00191,4-OH-PBN,315,4,dead,True,1043
UM-HET3,C2004,TJL,m,JL00192,4-OH-PBN,315,4,dead,True,496
UM-HET3,C2004,TJL,m,JL00193,4-OH-PBN,315,4,dead,True,876
UM-HET3,C2004,TJL,m,JL00194,4-OH-PBN,315,4,dead,True,961
UM-HET3,C2004,TJL,f,JL00237,4-OH-PBN,315,4,dead,True,715
UM-HET3,C2004,TJL,f,JL00238,4-OH-PBN,315,4,dead,True,930
UM-HET3,C2004,TJL,f,JL00239,4-OH-PBN,315,4,dead,True,1101
UM-HET3,C2004,TJL,f,JL00240,4-OH-PBN,315,4,dead,True,820
UM-HET3,C2004,TJL,f,JL00264,4-OH-PBN,315,4,dead,True,620
UM-HET3,C2004,TJL,f,JL00265,4-OH-PBN,315,4,dead,True,850
UM-HET3,C2004,TJL,f,JL00266,4-OH-PBN,315,4,dead,True,584
UM-HET3,C2004,TJL,f,JL00267,4-OH-PBN,315,4,dead,True,850
UM-HET3,C2004,TJL,m,JL00268,4-OH-PBN,315,4,dead,True,416
UM-HET3,C2004,TJL,m,JL00269,4-OH-PBN,315,4,dead,True,634
UM-HET3,C2004,TJL,m,JL00270,4-OH-PBN,315,4,dead,True,641
UM-HET3,C2004,TJL,f,JL00278,4-OH-PBN,315,4,dead,True,876
UM-HET3,C2004,TJL,f,JL00279,4-OH-PBN,315,4,dead,True,959
UM-HET3,C2004,TJL,f,JL00280,4-OH-PBN,315,4,dead,True,762
UM-HET3,C2004,TJL,f,JL00281,4-OH-PBN,315,4,dead,True,328
UM-HET3,C2004,TJL,f,JL00307,4-OH-PBN,315,4,dead,True,981
UM-HET3,C2004,TJL,f,JL00308,4-OH-PBN,315,4,dead,True,743
UM-HET3,C2004,TJL,f,JL00309,4-OH-PBN,315,4,dead,True,743
UM-HET3,C2004,TJL,f,JL00310,4-OH-PBN,315,4,dead,True,1099
UM-HET3,C2004,TJL,f,JL00335,4-OH-PBN,315,4,dead,True,793
UM-HET3,C2004,TJL,f,JL00336,4-OH-PBN,315,4,dead,True,927
UM-HET3,C2004,TJL,f,JL00337,4-OH-PBN,315,4,dead,True,912
UM-HET3,C2004,TJL,f,JL00338,4-OH-PBN,315,4,dead,True,1005
UM-HET3,C2004,TJL,f,JL00361,4-OH-PBN,315,4,dead,True,916
UM-HET3,C2004,TJL,f,JL00362,4-OH-PBN,315,4,dead,True,367
UM-HET3,C2004,TJL,f,JL00363,4-OH-PBN,315,4,dead,True,677
UM-HET3,C2004,TJL,f,JL00364,4-OH-PBN,315,4,dead,True,1055
UM-HET3,C2004,TJL,m,JL00371,4-OH-PBN,315,4,dead,True,491
UM-HET3,C2004,TJL,m,JL00372,4-OH-PBN,315,4,dead,True,966
UM-HET3,C2004,TJL,m,JL00373,4-OH-PBN,315,4,dead,True,659
UM-HET3,C2004,TJL,m,JL00404,4-OH-PBN,315,4,dead,True,722
UM-HET3,C2004,TJL,m,JL00405,4-OH-PBN,315,4,dead,True,597
UM-HET3,C2004,TJL,m,JL00406,4-OH-PBN,315,4,dead,True,853
UM-HET3,C2004,TJL,f,JL00407,4-OH-PBN,315,4,dead,True,874
UM-HET3,C2004,TJL,f,JL00408,4-OH-PBN,315,4,dead,True,448
UM-HET3,C2004,TJL,f,JL00409,4-OH-PBN,315,4,dead,True,990
UM-HET3,C2004,TJL,f,JL00410,4-OH-PBN,315,4,dead,True,1119
UM-HET3,C2004,TJL,m,JL00418,4-OH-PBN,315,4,dead,True,910
UM-HET3,C2004,TJL,m,JL00419,4-OH-PBN,315,4,dead,True,881
UM-HET3,C2004,TJL,m,JL00420,4-OH-PBN,315,4,dead,True,862
UM-HET3,C2004,TJL,m,JL00425,4-OH-PBN,315,4,dead,True,1037
UM-HET3,C2004,TJL,m,JL00426,4-OH-PBN,315,4,dead,True,792
UM-HET3,C2004,TJL,m,JL00427,4-OH-PBN,315,4,dead,True,953
UM-HET3,C2004,TJL,m,JL00431,4-OH-PBN,315,4,dead,True,248
UM-HET3,C2004,TJL,m,JL00432,4-OH-PBN,315,4,dead,True,787
UM-HET3,C2004,TJL,m,JL00433,4-OH-PBN,315,4,dead,True,387
UM-HET3,C2004,TJL,m,JL00437,4-OH-PBN,315,4,dead,True,745
UM-HET3,C2004,TJL,m,JL00438,4-OH-PBN,315,4,dead,True,738
