rectab_id	column_name	value_type	encoding_id	orda	units	notes
800	eid	11	0	0		Encoded participant identifier. This identifier is the same encoded id used in the main dataset.
800	procedure	41	0	5		Vaccination procedure carried out.
800	procedure_uni	41	1960	6		Vaccination procedure carried out (recoded). Provides a unified coding across the various sources for the procedure.
800	product	41	0	4		Vaccination product administered to participant.
800	source	41	1970	2		Data source (data provider / region).
800	vacc_date	51	819	3		Date of vaccination.
924	condition_concept_id	11	0	0		A foreign key that refers to a standard Condition Concept identifier in the Standardized Vocabularies.
924	condition_era_end_date	51	0	0		The end date for the Condition Era constructed from the individual instances of Condition Occurrences. It is the end date of the final continuously recorded instance of the Condition.
924	condition_era_id	11	0	0		A unique identifier for each Condition Era.
924	condition_era_start_date	51	0	0		The start date for the Condition Era constructed from the individual instances of Condition Occurrences. It is the start date of the very first chronologically recorded instance of the condition.
924	condition_occurrence_count	11	0	0		The number of individual Condition Occurrences used to construct the condition era.
924	eid	11	0	0		A foreign key identifier to the Person who is experiencing the Condition during the Condition Era.
925	condition_concept_id	11	0	0		A foreign key that refers to a Standard Condition Concept identifier in the Standardized Vocabularies.
925	condition_end_date	51	0	0		The date when the instance of the Condition is considered to have ended.
925	condition_end_datetime	61	0	0		The date when the instance of the Condition is considered to have ended.
925	condition_occurrence_id	11	0	0		A unique identifier for each Condition Era.
925	condition_source_concept_id	11	0	0		The source code for the condition as it appears in the source data. This code is mapped to a standard condition concept in the Standardized Vocabularies and the original code is stored here for reference.
925	condition_source_value	41	0	0		A foreign key to a Condition Concept that refers to the code used in the source.
925	condition_start_date	51	0	0		The date when the instance of the Condition is recorded.
925	condition_start_datetime	61	0	0		The date and time when the instance of the Condition is recorded.
925	condition_status_concept_id	11	0	0		
925	condition_status_source_value	41	0	0		
925	condition_type_concept_id	11	0	0		A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the source data from which the condition was recorded, the level of standardization, and the type of occurrence.
925	eid	11	0	0		A foreign key identifier to the Person who is experiencing the Condition.
925	provider_id	11	0	0		A foreign key to the Provider in the PROVIDER table who was responsible for capturing (diagnosing) the Condition.
925	stop_reason	41	0	0		The reason that the condition was no longer present, as indicated in the source data.
925	visit_detail_id	11	0	0		A foreign key to the predefined concept in the standard vocabulary reflecting the condition status.
925	visit_occurrence_id	11	0	0		A foreign key to the visit in the VISIT table during which the Condition was determined (diagnosed).
926	cause_concept_id	11	0	0		A foreign key referring to a standard concept identifier in the Standardized Vocabularies for conditions.
926	cause_source_concept_id	11	0	0		A foreign key to the concept that refers to the code used in the source. Note, this variable name is abbreviated to ensure it will be allowable across database platforms.
926	cause_source_value	41	0	0		The source code for the cause of death as it appears in the source data. This code is mapped to a standard concept in the Standardized Vocabularies and the original code is, stored here for reference.
926	death_date	51	0	0		The date the person was deceased. If the precise date including day or month is not known or not allowed, December is used as the default month, and the last day of the month the default day.
926	death_datetime	61	0	0		The date and time the person was deceased. If the precise date including day or month is not known or not allowed, December is used as the default month, and the last day of the month the default day.
926	death_type_concept_id	11	0	0		A foreign key referring to the predefined concept identifier in the Standardized Vocabularies reflecting how the death was represented in the source data.
926	eid	11	0	0		A foreign key identifier to the deceased person.
927	device_concept_id	11	0	0		A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Device concept.
927	device_exposure_end_date	51	0	0		The date the Device or supply was removed from use.
927	device_exposure_end_datetime	61	0	0		The date and time the Device or supply was removed from use.
927	device_exposure_id	11	0	0		A system-generated unique identifier for each Device Exposure.
927	device_exposure_start_date	51	0	0		The date the Device or supply was applied or used.
927	device_exposure_start_datetime	61	0	0		The date and time the Device or supply was applied or used.
