field_lo	field_hi	description
19	3081	F3081 indicates which foot is described in F19
19	4092	F4092 is a successor question to F19
19	4095	F4095 is a successor question to F19
21	10632	F21 incorporates the pilot-phase data from F10632
21	21002	F21 indicates the method used to produce measurement F21002
22	20041	F20041 is an encoded-representation of F22
23	10711	F10711 is the pilot-study predecessor of main-study F23
24	10718	F10718 is the pilot-study predecessor of main-study F24
24	20042	F20042 is an encoded-representation of F24
25	26	F26 is the opposite-side complement to  F25
25	20043	F20043 is an encoded-representation of F25
26	20044	F20044 is an encoded-representation of F26
27	20045	F20045 is an encoded-representation of F27
28	20046	F20046 is an encoded-representation of F28
29	20047	F20047 is an encoded-representation of F29
30	20048	F20048 is an encoded-representation of F30
31	22001	F22001 is the genetic sex of the participant as opposed to the sex obtained from central registry at recruitment (which was updated if the participant reported this was incorrect) F31
33	34	F34 is the year part of F33
33	52	F52 is the month part of F33
33	21003	F21003  uses the date-of-birth value in  F33
33	21022	F21022 uses the date-of-birth value in F33
33	40007	F33 was used to derive the age in F40007
34	52	F52 is the calendar month within the year F34
34	22200	F34 is the clinic-entered version of online participant-entered F22200
41	3077	F41  is the ID for the box described by  F3077
46	47	F46 is the opposite-side complement to  F47
46	10625	F46 incorporates the pilot-phase data from F10625
46	20044	F20044 gives reasons for skipping measurement F46
47	10624	F47 incorporates the pilot-phase data from F10624
47	20043	F20043 gives reasons for skipping measurement F47
48	49	F48 is measured above F49
48	10626	F48 incorporates the pilot-phase data from F10626
48	12626	F48 incorporates the pilot-phase data from F12626
49	10627	F49 incorporates the pilot-phase data from F10627
49	12627	F49 incorporates the pilot-phase data from F12627
50	10628	F50 incorporates the pilot-phase data from F10628
50	12144	F50 should be used in preference to F12144
50	12628	F50 incorporates the pilot-phase data from F12628
50	21001	F21001  uses the height value in  F50
50	21002	F50 is the height measured at the same time as weight F21002
50	21021	F21021  uses the height value in  F50
51	3077	F3077  is the height of the box on which participants were seated when measuring  F51
51	10629	F51 incorporates the pilot-phase data from F10629
51	12629	F51 incorporates the pilot-phase data from F12629
51	20015	F20015  uses the height value in  F51
53	54	F53 is the date participant attended centre F54
53	55	F55 is the month part of F53
53	20145	F53 was used to produce the count in F20145
53	21003	F21003  uses the date-joined value in  F53
53	21022	F21022 uses the date-recruited value in F53
62	2537	F62 is the internal type-code of answer F2537
62	2538	F62 is the time taken to answer F2538
62	2539	F62 is the time question first displayed for answer F2539
62	2540	F62 is the time of entry for answer F2540
