ref_id	caption	orda	restrict	descript	file
1	Cornea applanation curve example	0	0	Cornea applanation curve example	eg_iop_applanation.dat
2	Intra-ocular pressure curve example	0	0	Intra-ocular pressure curve example	eg_iop_pressure.dat
3	Spirometry exhalation volume curve example	0	0	Spirometry exhalation volume curve example	eg_spiro_3066.dat
4	Arterial stiffness pressure curve example	0	0	Arterial stiffness pressure curve example<p>The data is formatted as follows:<ul><li>The first number (i.e. digits before the first '|' character)indicate the number of points X,Y for the curve.</li><li>Each pair of X,Y values is separated by a '|' character from the preceding/succeeding pair.</li><li>Each pair of X,Y values is separated internally by a ',' character.</ul>The X-axis is the time in milliseconds and the Y-axis is the Pulse signal strength in arbitrary units.	eg_stiff_4205.dat
5	The 'lights' test of memory used in the ACE pilot clinic	0	0	Lights memory test	lights_memory.pdf
6	The 'reverse number recall' test of memory within ACE	0	0	Reverse number memory test	numeric_memory.pdf
7	Lights pattern for 2x2 configuration	0	0	Lights 2x2 pattern	ac_lt2a.png
8	Lights pattern for 3x3 configuration	0	0	Lights 3x3 pattern	ac_lt3a.png
9	Lights pattern for 4x4 configuration	0	0	Lights 4x4 pattern	ac_lt4a.png
10	Screenshot of numeric memory test	0	0	Screenshot showing initial screen with 2-digit number	ac_num_rem.png
11	ECG for bicycle fitness test example dataset	0	0	This example dataset contains the results of a single run of the bicycle fitness test. It is in the native XML format generated by the GE Cardiosoft system.	eg_ecg_ace.xml
12	BGEN file format reference	0	0	This is a screen-capture (12 July 2017) of the web-page <p> <a href="http://www.well.ox.ac.uk/~gav/bgen_format/bgen_format_v1.2.html"> http://www.well.ox.ac.uk/~gav/bgen_format/bgen_format_v1.2.html </a> <p> which documents the BGEN file formats used in some of the UK Biobank genetic data. <p> Please refer to, and reference in any publications, the original web-page rather than this frozen document.	bgen12formats.pdf
13	Staff greeting participants at imaging clinic reception	0	0	View of Cheadle imaging centre reception as seen by participants entering the building.	img_recep.jpg
15	Images used in matrix pattern completion	0	0	This image is a montage containing reduced size copies of the 15 images (indexed 0-14) used in the matrix pattern recognition test. The thumbnails are 20% of the original bitmap pixel resolution.	matimg_real.png
16	Images used in practise for matrix pattern completion	0	0	This image is a montage containing reduced size copies of the 3 images (indexed 1-3) used in the practise stage prior to the matrix pattern recognition test. The thumbnails are 20% of the original bitmap pixel resolution.	matimg_pract.png
19	PLINK 1.9 file format reference	0	0	This is a screen-capture (12 July 2017) of the web-page <p> <a href="https://www.cog-genomics.org/plink/1.9/formats"> https://www.cog-genomics.org/plink/1.9/formats </a> <p> which documents the PLINK file formats used in some of the UK Biobank genetic data. <p> Please refer to, and reference in any publications, the original web-page rather than this frozen document.	plink19formats.pdf
22	Mental health web-based questionnaire	0	0	This document details the rationale and procedure for administration of the mental health web-based questionnaire for UK Biobank.	mental_health_online.pdf
30	Example FDS file	0	0	This is the raw data saved by the OCT device. The files are typically just over 100MB in size.	eg_oct_fds.fds
31	Example FDA file	0	0	This is the data summary saved by the OCT device. The files are typically just over 5MB in size.	eg_oct_fda.fda
36	Example FMRI resting DICOM dataset	0	0	Brain functional MRI, resting, dataset in DICOM format.	eg_brain_rest.zip
37	Example FMRI task DICOM dataset	0	0	Brain functional MRI, task, dataset in DICOM format.	eg_brain_task.zip
100	Numeric response screen	0	0	This is the web numeric response screen. The picture illustrates the screen when the user is being shown a number to remember and the controls below are disabled.	hm_numeric.png
101	Symbol digit introductory explanation	0	0	This screen was used to explain the online symbol digit test.	hm_symdig_intro.png
102	Symbol digit training screen	0	0	Participants were presented with this screen to allow them to practise the symbol digit test before the live timed segment began.	hm_symdig_pract.png
103	Symbol digit test	0	0	This illustrates the symbol digit test. Participants were shown a series of similar screens until the time limit expired.	hm_symdig_real.png
104	Trail making practise screen for first test	0	0	This is the practise screen presented to participants before they attempt the first trail making test in the online (i.e. web-based) implementation. The touchscreen implementation used the same text and layout of the trail circles but had a different border.	hm_trail1_pract.png
105	Trail making practise screen for second test	0	0	This is the practise screen presented to participants before they attempt the second trail making test in the online (i.e. web-based) implementation. The touchscreen implementation used the same text and layout of the trail circles but had a different border.	hm_trail2_pract.png
106	Trail making screen for second test	0	0	This is the screen presented to participants as the second trail making test in the online (i.e. web-based) implementation. The touchscreen implementation used the same text and layout of the trail circles but had a different border. Version shown is from 2014 implementation.	hm_trail2_real.png
107	Trail making screen for first test	0	0	This is the screen presented to participants as the first trail making test in the online (i.e. web-based) implementation. The touchscreen implementation used the same text and layout of the trail circles but had a different border.	hm_trail1_real.png
108	Fluid intelligence screen	0	0	Example of screen format used for the online fluid intelligence test	hm_flint.png
109	Pairs matching screen	0	0	Example of screen format used for the online pairs matching test. This illustrates the end of the initial 3x2 game.	hm_pairs.png
110	Snap reaction test screen	0	0	Example of screen format used for the online snap reaction test. This illustrates the display when a participant has correctly indicated that two symbols match.	hm_snap.png
111	Symbol digit images	0	0	Shows the images used for the symbol digit test and gives the indices associated with the pattern arrays in ~F20198~.	symdig_pics.png
120	Selection criteria and timelines of first repeat imaging	0	0	Due to changes necessitated by the COVID-19 pandemic, recruitment for the first repeat imaging appointments (i.e. data having ins_index=3 using instancing 2) was subject to different selection criteria over different "phases". This document details the selection criteria and timing of the different recruitment phases of these first repeat imaging appointments. If researchers are interested in selecting participants associated with a particular phase, they can do so by restricting the data by assessment date (~F53~) using the non-overlapping time periods detailed herein.	first_repeat_imaging_selection.pdf
130	NMR metabolomics companion document (Phase 2 update)	0	0	Update to NMR metabolomics companion document (Phase 2)	NMR_companion_phase2.pdf
131	NMR metabolomics Appendix 1: distribution of biomarker values per sample batch (Phase 2 update)	0	0	Update to NMR metabolomics Appendix 1: distribution of biomarker values per sample batch processed (Phase 2)	NMR_Appendix1_phase2.pdf
132	NMR metabolomics Appendix 2: correlations for blinded duplicates used as controls (Phase 2 update)	0	0	Update to NMR metabolomics Appendix 2: correlation between measures for blinded duplicates used as controls (Phase 2)	NMR_Appendix2_phase2.pdf
133	NMR metabolomics Appendix 3: correlation between biomarker values (Phase 2 update)	0	0	Update to NMR metabolomics Appendix 3: correlation between biomarker values for enrolment and repeat visits (Phase 2)	NMR_Appendix3_phase2.pdf
135	NMR metabolomics Appendix 5: distribution of biomarker values per spectrometer (Phase 2 update)	0	0	Update to NMR metabolomics Appendix 5: distribution of biomarker values per spectrometer used for measurement (Phase 2)	NMR_Appendix5_phase2.pdf
136	NMR metabolomics Appendix 6 correlations before and after recalibration (Phase 2)	0	0	NMR metabolomics Appendix 6 correlations before and after recalibration (Phase 2)	NMR_appendix6.pdf
177	Pancreas MRI ShMoLLI example dataset	0	0	Example of pancreas MRI ShMoLLI results in DICOM format.	eg_panc_shmolli.zip
182	Imputation of classical HLA types	0	0	Describes how imputation of four-digit HLA alleles (and associated quality metric) from measured SNP information was carried out.	HLA_imputation.pdf
198	Description of entry method	0	0	Describes the questions asked to determine the means by which participants entered data into questionnaires.	EntryMethod.pdf
199	Entry method screen, 2021 version	0	0	Screenshot of whole entry method questionnaire as presented in 2021.	hm7_Entry_mode_module.png
200	BIM index files for OQFE exome data	0	0	Zip containing BIM files for the OQFE exome data in plink format. Separate files are presented for each chromosome.	UKBexomeOQFEbim.zip
219	BIM (marker) file for exome SBP data	0	0	Exome SNP index file for SBP results in PLINK bim format.	ukb_exm_spb_chrall_v1.bim
220	Example multibrand diffusion DICOM dataset	0	0	Brain MRI, multiband diffusion dataset in DICOM format.	eg_brain_mbdif.zip
273	Freezer system used for original sample collection and storage	0	0	This is an internal picture of the freezer system used in Manchester from 2006-2025 to hold the primary UK Biobank sample inventory.	freezer_original.png
337	OCT images slices example dataset	0	0	Example dataset contaning images slices from a 3D OCT scan. This set contains 128 PNG format images.	eg_oct_slices.zip
338	Operator view of dual-femur during DXA scan	0	0	Screenshot from DXA system while performing dual-femur scan.	dxa_dualfemur_opview.jpg
346	Example T1 structural DICOM dataset	0	0	Brain MRI, T1 structural dataset in DICOM format.	eg_brain_t1.zip
348	Body (abdominal) MRI procedures	0	0	This document details the procedure for the body (abdominal) MRI scan performed at an Imaging assessment centre for UK Biobank.	body_mri_explan.pdf
349	Cardiac MRI procedures	0	0	This document details the procedure for the CMR scan performed at an Imaging assessment centre by UK Biobank	cardiac_mri_explan.pdf
356	Participant side position on DXA scanner	0	0	A participant is shown lying on their side ready for the spine DXA scan to begin.	dxa_side.jpg
365	Participant supine position on DXA scanner	0	0	A participant is shown lying flat on their back ready for the whole-body DXA scan to begin.	dxa_flat.jpg
368	Affymetrix genotype data generation	0	0	This document provides details regarding the genotyping data generation by the by the Applied Biosystems Microarray Research Services Laboratory (formerly the Affymetrix Research Services Laboratory [ARSL]) for the UK Biobank genotyping project.	affy_data_generation2017.pdf
400	Screenshot of main introduction page	0	0	Screenshot of web-page for main introduction from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_01_intro.png
401	Screenshot of uncompleted identity confirmation page	0	0	Screenshot of web-page for uncompleted identity confirmation from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_02a_intro_ds.png
402	Screenshot of completed identity confirmation page	0	0	Screenshot of web-page for completed identity confirmation from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_02_intro_ds.png
403	Screenshot of mental distress page	0	0	Screenshot of web-page for mental distress from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_03_mntdistress.png
404	Screenshot of professionally diagnosed conditions (group 1/2) page	0	0	Screenshot of web-page for professionally diagnosed conditions (group 1/2) from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_04_condA.png
405	Screenshot of professionally diagnosed conditions (group 2/2) page	0	0	Screenshot of web-page for professionally diagnosed conditions (group 2/2) from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_05_condB.png
406	Screenshot of introduction to depression section page	0	0	Screenshot of web-page for introduction to depression section from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_06_intro_dp.png
407	Screenshot of depression in last 2 weeks page	0	0	Screenshot of web-page for depression in last 2 weeks from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_07_recent.png
408	Screenshot of lifetime depression page	0	0	Screenshot of web-page for lifetime depression from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_08_everblue.png
409	Screenshot of worst depressed period cause page	0	0	Screenshot of web-page for worst depressed period cause from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_09_bluestress.png
410	Screenshot of worst depressed period symptoms page	0	0	Screenshot of web-page for worst depressed period symptoms from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_10_bluedur.png
411	Screenshot of weight change during worst depression page	0	0	Screenshot of web-page for weight change during worst depression from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_11_weight.png
412	Screenshot of sleep during worst depression page	0	0	Screenshot of web-page for sleep during worst depression from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_12_sleep.png
413	Screenshot of attitude during worst depression page	0	0	Screenshot of web-page for attitude during worst depression from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_13_conc.png
414	Screenshot of duration and effect on role during worst depression page	0	0	Screenshot of web-page for duration and effect on role during worst depression from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_14_feeldur.png
415	Screenshot of frequency of depression page	0	0	Screenshot of web-page for frequency of depression from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_15_bloften.png
416	Screenshot of remedies attempted for depression page	0	0	Screenshot of web-page for remedies attempted for depression from the UK Biobank on-line "Thoughts and Feelings" mental health questionnaire	taf_16_blhelp.png
