field_id	ref_id
100010	10107
100020	10107
100150	10062
100160	10062
100170	10062
100180	10062
100190	10062
100200	10062
100210	10062
100220	10062
100230	10062
100240	10062
100250	10038
100260	10038
100270	10089
100280	10089
100290	10035
100300	10035
100310	10079
100320	10079
100330	10078
100350	10078
100360	10038
100370	10038
100380	10038
100390	10062
100400	10010
100410	10010
100420	10010
100430	10010
100440	10110
100460	10112
100470	10112
100480	10085
100490	10010
100500	10010
100510	10062
100520	10083
100530	10083
100540	10083
100550	10083
100560	10083
100580	10062
100590	10030
100630	10023
100670	10033
100710	10043
100720	10043
100730	10043
100740	10043
100760	10076
100770	10053
100800	10053
100810	10053
100820	10053
100830	10053
100840	10053
100850	10053
100860	10053
100880	10053
100890	10053
100900	10053
100910	10053
100920	10037
100940	10011
100950	10099
101020	10099
101090	10099
101160	10099
101230	10099
101240	10099
101250	10099
101260	10099
101270	10099
101300	10091
101310	10086
101350	10052
101390	10016
101430	10075
101470	10074
101510	10058
101550	10087
101970	10070
101980	10070
101990	10070
102000	10070
102010	10070
102020	10070
102030	10070
102040	10070
102050	10070
102060	10070
102070	10070
102080	10028
102090	10056
102120	10056
102130	10017
102140	10017
102150	10017
102170	10017
102180	10017
102190	10017
102200	10017
102210	10017
102220	10017
102230	10017
102250	10028
102260	10090
102270	10090
102280	10090
102290	10090
102300	10090
102310	10090
102320	10090
102330	10090
102340	10090
102350	10090
102360	10090
102370	10090
102380	10090
102400	10102
102410	10059
102420	10059
102430	10059
102440	10059
102450	10059
102460	10059
102470	10059
102480	10059
102490	10059
102500	10059
102520	10055
102530	10066
102540	10066
102620	10066
102700	10060
102710	10080
102720	10080
102730	10080
102740	10080
102750	10080
102760	10080
102770	10080
102780	10080
102800	10060
102810	10065
102820	10065
102830	10065
102840	10065
102850	10065
102860	10065
102870	10065
102880	10065
102890	10065
102900	10065
102910	10065
102930	10060
102940	10100
102950	10100
102960	10100
102970	10100
102980	10100
103000	10032
103010	10005
103020	10005
103030	10005
103040	10005
103050	10005
103060	10005
103070	10005
103080	10005
103090	10005
103100	10005
103120	10020
103130	10088
103140	10054
103150	10071
103160	10071
103170	10071
103180	10071
103190	10071
103200	10071
103210	10071
103220	10071
103230	10071
103250	10003
103260	10069
103270	10069
103280	10069
103290	10069
103310	10040
103980	10094
103990	10067
104000	10113
104010	10113
104020	10113
104030	10113
104040	10077
104050	10113
104060	10113
104070	10113
104080	10113
104090	10113
104100	10113
104110	10113
104120	10113
104130	10113
104140	10113
104150	10113
104160	10113
104170	10113
104180	10113
104190	10113
104200	10113
104210	10113
104220	10113
104230	10113
104240	10113
104250	10113
104260	10113
104270	10113
104280	10113
104290	10113
104300	10113
104310	10113
104320	10113
104330	10113
104340	10113
104350	10113
104360	10113
104370	10113
104380	10113
104400	10073
104410	10082
104420	10082
104430	10082
104440	10082
104450	10082
104460	10082
104470	10082
104480	10082
104490	10082
104500	10082
104510	10082
104520	10082
104530	10082
104540	10082
104550	10082
104560	10082
104570	10082
104580	10082
104590	10082
104660	10000
104670	10046
104900	10096
104910	10096
104920	10096
23	100208
36	100169
48	100150
49	100143
50	100141
50	100142
51	100122
53	120
53	100230
53	100241
55	100230
55	100241
62	100445
74	100151
94	100167
94	100168
111	100177
111	100697
120	100160
129	2004
129	11002
130	2004
130	11002
190	481516
191	481516
401	1004
401	10115
402	1004
402	10115
670	100464
680	100465
