label_id	ref_id
42	460
42	594
42	112016
43	460
44	460
45	460
46	460
47	460
48	8319
49	460
50	460
54	540
54	2401
54	3594
76	6810
100	529
100	1977
100	2006
100	2367
100	4004
100	9001
100	9028
101	511
101	941
101	4351
102	349
102	1133
102	3472
102	8971
102	15146
103	356
103	365
103	502
103	1026
103	40441
104	510
104	2607
104	18901
104	78923
104	123481
105	348
105	504
105	1133
105	2005
105	3472
105	8971
106	1462
106	1977
106	2006
106	2277
106	4004
106	7227
106	7722
106	9001
106	9028
107	1977
107	2006
109	1977
109	2006
110	1977
110	2006
111	1977
111	2006
111	9001
111	9028
112	1977
112	2006
114	2010
115	2010
116	2049
116	2053
116	158565
116	158566
117	109
117	1004
117	2028
118	108
118	2029
118	2034
119	1977
119	2006
120	100
120	2027
121	104
121	105
121	106
121	107
121	2032
121	2050
121	8481
122	101
122	102
122	103
122	111
122	2031
122	2103
123	8349
125	338
125	1726
125	2131
125	89240
125	160121
128	503
128	509
130	158590
130	158591
134	2006
135	2006
136	22
136	400
136	401
136	402
136	457
136	572
138	406
139	417
140	421
141	430
142	436
144	441
147	454
148	34972
149	1005
149	1006
149	2166
149	163332
150	2060
151	15374
153	595
154	2718
155	2030
155	2054
160	2500
161	15
161	16
161	2033
161	2051
161	2052
163	2120
164	198
164	199
164	158562
170	838
170	1000
170	1911
170	3801
170	3802
170	3803
170	572347
181	657
181	829
198	529
198	1977
198	2006
198	2367
198	4004
198	9001
198	9028
205	2278
205	2320
205	2321
205	2322
205	2323
205	2324
205	2325
220	130
220	131
220	132
220	133
220	135
220	136
220	1682
220	2078
220	2079
220	2080
220	2081
220	2082
220	3000
220	3001
220	3002
220	3003
220	3004
220	3005
220	3543
263	368
263	530
263	531
263	533
263	534
263	146640
263	149600
263	149601
263	157022
268	2007
300	2071
300	5202
301	2071
301	5202
302	2071
302	5202
501	15
501	16
501	5011
501	5012
501	5013
502	111
502	5021
502	5022
503	527
504	1702
504	4224
504	5041
504	5042
504	6314
505	104
505	105
505	106
505	107
506	2561
506	6550
506	6551
506	6552
508	1977
703	1406
989	4453
990	4451
990	4452
991	4446
992	4444
992	4445
993	4401
993	4447
993	4448
993	4449
994	4450
994	4451
994	4452
994	4453
995	4400
995	4401
995	4444
995	4445
995	4446
995	4447
995	4448
995	4449
997	4600
997	4601
997	4602
998	4500
998	4501
998	4502
998	4503
998	4504
998	4505
998	4506
998	4513
998	4520
1008	2070
1008	90216
1008	131600
1008	141141
1008	169649
1039	1292
1039	1293
1039	25974
1358	3012
1358	3013
1358	10261
1500	2800
1500	2877
1500	2878
1500	2879
1500	2880
1500	2881
1500	2882
1712	592
1712	593
1712	11419
1839	1013
1839	1014
1839	1015
1839	1016
1839	1017
1839	1018
1839	1019
1839	2055
1839	2056
1839	2057
1839	4654
1839	4655
1839	4656
1839	4657
1839	4658
2000	138483
2000	141140
2000	146641
2001	146641
3000	591
3000	592
3001	592
9081	1453
9081	7248
9081	7249
11090	2072
11090	2248
11090	2249
11090	2250
11090	2251
11090	2252
11090	2253
11090	2254
17518	1227
17518	5636
18518	1227
51428	1348
100000	100212
100000	100224
100000	100238
100001	100226
100002	6071
100002	100097
100002	100098
100002	100136
100002	100137
100002	100152
100002	100153
100002	100154
100002	100227
100003	120
100006	1701
100006	100124
100006	100201
100006	100213
100006	100214
100007	8601
100007	100099
100007	100180
100007	100181
100007	100240
100008	100194
100008	146620
100009	1421
100009	100144
100009	100195
100009	100196
100009	100197
100011	1701
100011	100138
100011	100225
100012	100095
100012	100096
100012	100109
100012	100135
100012	100155
100012	100229
100012	123481
100013	100184
100013	100185
100014	100110
100014	100111
100014	100242
100015	100112
100015	100236
100016	100113
100016	100114
100016	100115
100016	100132
100016	100237
100017	100147
100017	100148
100017	100149
100017	100250
100018	100116
100018	100117
100018	100191
100018	100248
100019	2431
100019	2432
100019	2433
100019	2434
100019	100118
100019	100232
100020	100100
100020	100134
100020	100145
100020	100146
100020	100202
100020	100203
100020	100204
100020	100205
100020	100209
100020	100210
100020	100223
100020	100246
100021	13
100021	2067
100021	100253
100022	100140
100022	100158
100022	100159
100022	100211
100022	100215
100022	100254
100023	2421
100023	100106
100023	100107
100023	100130
100023	100230
100023	100252
100024	2219
100024	11002
100024	100104
100024	100128
100024	100129
100024	100241
100025	13019
100025	100102
100025	100105
100025	100123
100025	100127
100025	100219
100025	100220
100025	100221
100025	100247
100025	113241
100027	100231
100027	113241
100028	5
100028	7
100028	8
100028	9
100028	100696
100029	6
100029	10
100029	100217
100030	1004
100030	10115
100030	100125
100030	100126
100030	100133
100030	100218
100030	100239
100031	100244
100031	113204
100031	113205
100032	100103
100032	100131
100032	100222
100032	100245
100033	113241
100034	113241
100036	113241
100037	113241
100038	113241
100039	113241
100040	113241
100041	113241
100042	113241
100043	113241
100044	113241
100045	113241
100046	113241
100047	113241
100048	113241
100049	7004
100049	100119
100049	100120
100049	100216
100049	100233
100049	138440
100049	158560
100049	158561
100050	113241
100051	113241
100052	113241
100053	113241
100054	113241
100055	113241
100056	113241
100057	113241
100058	113241
100059	113241
100060	113241
100061	113241
100062	113241
100063	113241
100064	113241
100065	113241
100066	113241
100067	113241
100068	113241
100069	113241
100070	113241
100071	100101
100071	100121
100071	100235
100072	100235
100073	100163
100073	100235
100074	100182
100074	100183
100074	100235
100075	100235
100076	100235
100081	1453
100081	7248
100081	7249
100083	34972
100084	273
100090	100108
100090	100139
100090	118240
100091	596
100091	2112
100092	115558
100093	115559
100095	100157
100096	100157
100096	100243
100097	118240
100098	118240
100100	118240
100101	118240
100102	118240
100103	118240
100104	118240
100105	118240
100106	118240
100107	118240
100108	118240
100109	118240
100110	118240
100111	118240
100112	118240
100113	118122
100114	118240
100115	146580
100115	146581
100115	146600
100115	146601
100115	146602
100115	146603
100115	146604
100115	146605
100115	146606
100115	146607
100313	590
100313	807
100315	19
100315	998
100315	1817
100315	1955
100315	1963
100315	1968
100315	2077
100316	149660
100316	149845
100316	149846
100317	149660
100317	149860
100317	149861
100319	12
100319	1671
100319	1965
100319	1967
199001	483
199001	976
199001	149640
199001	149660
199001	149841
199001	149842
199001	149843
199001	149844
199001	155580
199001	155581
199001	155582
199001	155583
199001	157002
199001	157020
199001	157021
199001	1201
199001	1202
199001	1203
199001	1204
199001	1205
199001	1206
199001	1207
199001	1208
199001	1209
199001	1210
199001	1211
199001	1212
199001	1213
199001	1214
199001	1215
199001	1216
199001	1217
199001	1218
199001	1219
199001	1220
199001	1221
199001	1222
100023	2141
100023	2142
100023	2143
100023	2144
100023	2145
100023	2146
100023	2147
100023	2148
100023	2149
100023	2150
100023	2151
100023	2152
100023	2153
100023	2154
100023	2155
100023	2156
100023	2157
100023	2158
100023	2159
100023	2160
100119	2191
100119	2192
100119	2193
100119	2194
100119	2195
100119	2196
100119	2197
100119	2198
100119	2199
100119	2200
100119	2201
100119	2202
100119	2203
100119	2204
100119	2205
100119	2206
100119	2207
100119	2208
100119	2209
100119	2210
100119	2211
